360	360
360	360
90	90
60	60
60	60
60	60
60	60
60	60
90	90
90	90
90	90
90	90
120	120
120	120
90	90
60	60
60	60
90	90
90	90
90	90
90	90
90	90
90	90
90	90
120	120
120	120
120	120
60	60
60	60
270	270
270	270
150	150
150	150
60	60
60	60
90	90
90	90
90	90
90	90
90	90
90	90
60	60
60	60
60	60
60	60
90	90
90	90
90	90
90	90
90	90
90	90
60	60
60	60
60	60
60	60
90	90
90	90
120	120
120	120
60	60
60	60
90	90
90	90
150	150
150	150
150	150
150	150
60	60
60	60
120	120
120	120
90	90
90	90
60	60
60	60
90	90
90	90
40	40
40	40
30	30
30	30
30	30
30	30
90	90
90	90
60	60
90	90
60	60
60	60
60	60
90	90
90	90
60	60
60	60
60	60
60	60
60	60
90	90
210	210
270	270
360	360
60	60
90	90
60	60
60	60
90	90
60	60
150	150
270	270
90	90
180	180
90	90
90	90
60	60
120	120
90	90
60	60
90	90
90	90
60	60
120	120
120	120
180	180
90	90
120	120
180	180
90	90
150	150
60	60
60	60
60	60
120	120
120	120
90	90
90	90
60	60
60	60
90	90
60	60
60	60
180	180
60	60
210	210
40	40
60	60
90	90
60	60
60	60
60	60
150	150
90	90
150	150
90	90
150	150
90	90
60	60
60	60
90	90
60	60
90	90
90	90
150	150
120	120
90	90
60	60
90	90
60	60
120	120
60	60
60	60
90	90
150	150
240	240
210	210
90	90
0	0
120	120
90	90
90	90
60	60
120	120
90	90
60	60
120	120
90	90
60	60
60	60
90	90
270	270
150	150
270	270
90	90
60	60
150	150
210	210
90	90
120	120
150	150
90	90
60	60
60	60
150	150
150	150
60	60
90	90
60	60
90	90
60	60
90	90
60	60
270	270
90	90
150	150
90	90
60	60
270	270
60	60
90	90
270	270
150	150
90	90
60	60
90	90
120	120
60	60
90	90
150	150
60	60
60	60
90	90
60	60
120	120
150	150
120	120
90	90
90	90
60	60
120	120
60	60
120	120
60	60
150	150
60	60
60	60
60	60
90	90
150	150
60	60
90	90
60	60
150	150
90	90
90	90
60	60
180	180
660	660
120	120
150	150
180	180
120	120
270	270
120	120
60	60
90	90
150	150
90	90
150	150
60	60
150	150
90	90
60	60
120	120
90	90
60	60
60	60
60	60
90	90
90	90
90	90
90	90
90	90
270	270
90	90
60	60
120	120
270	270
60	60
90	90
60	60
120	120
60	60
270	270
120	120
90	90
150	150
60	60
90	90
120	120
60	60
120	120
150	150
120	120
60	60
90	90
60	60
60	60
120	120
90	90
120	120
60	60
90	90
90	90
90	90
120	120
150	150
90	90
60	60
60	60
60	60
120	120
150	150
90	90
60	60
90	90
60	60
90	90
60	60
270	270
60	60
120	120
90	90
270	270
90	90
60	60
60	60
90	90
210	210
90	90
90	90
90	90
60	60
60	60
120	120
90	90
60	60
90	90
60	60
270	270
60	60
60	60
60	60
270	270
270	270
90	90
90	90
90	90
150	150
60	60
60	60
120	120
60	60
60	60
60	60
60	60
150	150
60	60
60	60
120	120
90	90
60	60
150	150
120	120
120	120
90	90
90	90
60	60
120	120
150	150
270	270
40	40
150	150
240	240
150	150
270	270
270	270
60	60
90	90
90	90
90	90
30	30
60	60
60	60
60	60
180	180
90	90
120	120
60	60
180	180
90	90
60	60
60	60
120	120
90	90
120	120
90	90
60	60
90	90
120	120
270	270
210	210
360	360
90	90
60	60
60	60
60	60
30	30
120	120
150	150
60	60
60	60
60	60
120	120
60	60
120	120
60	60
210	210
60	60
120	120
90	90
60	60
270	270
60	60
90	90
90	90
90	90
60	60
60	60
60	60
120	120
150	150
60	60
90	90
90	90
40	40
40	40
60	60
60	60
270	270
270	270
60	60
120	120
150	150
60	60
180	180
90	90
180	180
90	90
60	60
60	60
60	60
90	90
150	150
270	270
60	60
90	90
120	120
150	150
60	60
90	90
180	180
60	60
90	90
90	90
